state_id,suite,phase,episode,frac_tokens_lawm_better_than_nochange,mse_pred_global,mse_trivial_global,lawm_better_on_mse,U_median,G_median,D_median,sum_sq_err_pred,sum_sq_err_trivial,q0_G_median,q0_U_median,q0_D_median,q0_frac_better,q0_S_median,q1_G_median,q1_U_median,q1_D_median,q1_frac_better,q1_S_median,q2_G_median,q2_U_median,q2_D_median,q2_frac_better,q2_S_median,q3_G_median,q3_U_median,q3_D_median,q3_frac_better,q3_S_median
libero_object_t00_ep000_s0056_manipulation,libero_object,manipulation,libero_object_t0_ep0,0.21484375,0.07536700497492128,0.16741754964359387,True,5.812609933056773,2.434287408977074,6.003425092153751,14817.756114109316,32915.629600327695,1.4719909864810468,4.860236301028473,5.196781914605692,0.0,2.5908204861480044e-06,2.0345608011090315,5.499894804210058,5.7973312011287685,0.0,5.794638809675234e-06,3.3369828988386008,5.546453643582038,4.935306574406475,0.03125,7.0189780672080815e-06,22.457280143539563,10.3321652891712,20.291702253214435,0.828125,1.5995366993593052e-05
libero_object_t00_ep001_s0024_approach,libero_object,approach,libero_object_t0_ep1,0.16796875,0.05255232801627798,0.11101991161557008,True,5.667716859457091,1.8583671406326316,5.732770419567807,10332.208106624383,21827.40278291401,1.2576340795670014,4.704553407173216,4.9153391895482965,0.0,1.2517311347437499e-06,1.654119522319832,5.1049594862750585,4.992917270056109,0.0,6.031784550941666e-06,2.3073567875664316,5.125074500863477,5.125167068576061,0.0,1.35480186145287e-05,13.768701165942513,8.204379912785262,12.835203120731412,0.671875,2.2404544324672315e-05
libero_object_t00_ep001_s0048_pre_grasp,libero_object,pre_grasp,libero_object_t0_ep1,0.0703125,0.06136466624214287,0.025597829202309786,False,5.705677961722964,1.313307930314162,5.469452815538455,12064.784300535222,5032.738003807722,0.8725599651686691,4.9078006516953785,4.680272945527564,0.0,2.7597295684245182e-06,1.0791117172484483,5.497905118150692,5.245883429702724,0.0,5.127753411215963e-06,1.5873670889629565,4.927325787432784,4.793824817334748,0.0,1.1211176115466515e-05,7.621768802411597,9.097149112234003,9.18573930929195,0.28125,3.6526624171528965e-05
libero_object_t00_ep001_s0064_manipulation,libero_object,manipulation,libero_object_t0_ep1,0.2265625,0.066486739049171,0.16847219279828082,True,5.695394731545605,2.400804979535284,5.88229566934786,13071.824790979415,33122.98088168439,1.6393961211435233,4.620184208946064,5.051275086118199,0.0,2.667968374225893e-06,2.0768819496225177,5.074135095380797,5.590371351953551,0.0,7.549863539679791e-06,3.2854987850054376,5.680995446145902,5.084320846192964,0.046875,9.599867553333752e-06,21.224700562520475,8.329417910872621,20.454703827362188,0.859375,1.719453121040715e-05
libero_object_t00_ep002_s0024_approach,libero_object,approach,libero_object_t0_ep2,0.15625,0.05283816670429767,0.1031320873292151,True,5.489887264142013,1.9094848604344974,5.402333500527613,10388.406279398558,20276.593425622326,1.1356223086638435,4.7196315860584335,4.516364864050721,0.0,1.1039073797292076e-06,1.6200284676416894,4.797947033823481,4.724281484400319,0.0,6.672074277958018e-06,2.330339301846145,5.300753297543899,4.989921897930264,0.0,6.4745913732622284e-06,11.603498197826568,8.321775375766173,11.520611978404807,0.625,1.1825041838164907e-05
libero_object_t00_ep002_s0048_pre_grasp,libero_object,pre_grasp,libero_object_t0_ep2,0.16015625,0.06323113713007926,0.08155056245877014,True,5.683634249180863,1.696197156896495,5.77463558029566,12431.747408870622,16033.49298389388,1.112105605731671,4.599583651863198,4.699225971855331,0.0,4.698689963333891e-06,1.4333591805557746,5.399745655400436,5.473776508133344,0.0,4.3876941617781995e-06,2.292934767112804,4.957873280688609,4.896498551512074,0.0,8.409336260228883e-06,12.40226773942561,9.251074446477702,13.924868962107631,0.640625,3.4078737371601164e-05
libero_object_t00_ep002_s0064_manipulation,libero_object,manipulation,libero_object_t0_ep2,0.19921875,0.05978294343309246,0.1553543884190821,True,5.871393849952065,2.23057105601521,5.750696439844484,11753.804942493447,30543.915598298896,1.226027899480666,4.813879073141134,4.482030572784695,0.0,3.733263952199195e-06,1.74725549359647,5.22434733565398,5.3083047181734635,0.0,5.209953087614849e-06,3.004009145866565,5.702756417845553,5.342112428862926,0.0,1.049844058798044e-05,19.80290125052862,8.14997553831478,19.790013601562624,0.796875,1.66992140293587e-05
libero_object_t00_ep003_s0024_approach,libero_object,approach,libero_object_t0_ep3,0.1640625,0.05838636131127667,0.11001201194497014,True,5.684716937181132,1.7728552083575047,5.58036108668141,11479.225724687483,21629.241644476693,1.2436059955753724,4.574212083955215,4.597119933674398,0.0,1.9098122834293463e-06,1.5569660802457972,5.050237726078913,5.032567226881574,0.0,5.7463541907054605e-06,2.140391450825767,5.608690611431411,5.464012210342927,0.0,7.807749852872803e-06,14.040988365409754,8.985683180053453,12.1015228232285,0.65625,1.6839767340570688e-05
libero_object_t00_ep003_s0048_pre_grasp,libero_object,pre_grasp,libero_object_t0_ep3,0.09765625,0.06343022892749262,0.041136477998585094,False,5.552373631086025,1.4954818655932902,5.316347496749012,12470.890448976468,8087.7606663458155,0.9432670319258689,4.832344061229223,4.68329485686652,0.0,3.902937464772549e-06,1.2244515914799663,4.922393482545554,5.085455569349984,0.0,3.923298436347977e-06,1.8594489245236392,4.928243030548446,4.508022819144299,0.0,1.1274762982793618e-05,8.098663246107902,9.217310509136063,8.039533386896863,0.390625,3.6507330150925554e-05
libero_object_t00_ep003_s0064_manipulation,libero_object,manipulation,libero_object_t0_ep3,0.20703125,0.06709476043842703,0.14739759397772384,True,5.215732236956235,2.1572732238934798,5.230143181375555,13191.366660278265,28979.546156772332,1.257876940340081,4.624444832770842,4.598116936021178,0.0,2.2453846213466022e-06,1.767967228325094,4.774502373191723,4.690520819740074,0.0,5.965272976027336e-06,2.974756552734377,5.019137800397337,4.7962855577426335,0.015625,1.0687540907383664e-05,20.999727582221375,9.239269955277475,20.938039762325708,0.8125,1.800111658667447e-05
