state_id,suite,task_id,phase,episode,token_budget,eef_treatment_mm,eef_nuisance_mm,obj_treatment_mm,recovery_A_random,residual_mm_A_random,eef_dev_from_pred_mm_A_random,action_maxabs_A_random,obj_dev_from_pred_mm_A_random,recovery_B_top_D,residual_mm_B_top_D,eef_dev_from_pred_mm_B_top_D,action_maxabs_B_top_D,obj_dev_from_pred_mm_B_top_D,recovery_C_top_S,residual_mm_C_top_S,eef_dev_from_pred_mm_C_top_S,action_maxabs_C_top_S,obj_dev_from_pred_mm_C_top_S,recovery_D_top_D_times_S,residual_mm_D_top_D_times_S,eef_dev_from_pred_mm_D_top_D_times_S,action_maxabs_D_top_D_times_S,obj_dev_from_pred_mm_D_top_D_times_S,recovery_E_top_U_oracle,residual_mm_E_top_U_oracle,eef_dev_from_pred_mm_E_top_U_oracle,action_maxabs_E_top_U_oracle,obj_dev_from_pred_mm_E_top_U_oracle,recovery_F_top_U_times_S,residual_mm_F_top_U_times_S,eef_dev_from_pred_mm_F_top_U_times_S,action_maxabs_F_top_U_times_S,obj_dev_from_pred_mm_F_top_U_times_S,recovery_G_top_attention,residual_mm_G_top_attention,eef_dev_from_pred_mm_G_top_attention,action_maxabs_G_top_attention,obj_dev_from_pred_mm_G_top_attention,recovery_H_top_D_times_attention,residual_mm_H_top_D_times_attention,eef_dev_from_pred_mm_H_top_D_times_attention,action_maxabs_H_top_D_times_attention,obj_dev_from_pred_mm_H_top_D_times_attention,wall_sec
libero_goal_t08_ep003_s0048_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep3,64,0.9400209102271218,1.1634784611094562,0.9378835815083355,0.134408978861684,0.8136813295151524,0.1570850916230064,0.0052437980969746905,0.15365988226448424,0.8140589139653042,0.17476473002850626,0.8864551029212789,0.02117401361465454,0.887763822591804,0.5549218385332488,0.41839648310074584,0.648146238692428,0.01467369000116984,0.6526734159652735,0.432558410615077,0.5333300276538923,0.6175313806499046,0.014079968134562174,0.6185563476703346,0.6530380267384834,0.32611902423413536,0.9625748015541175,0.019989117980003357,0.9632508332779945,0.6144442794590298,0.36244501763583065,0.7072466249180452,0.015299439430236816,0.7084217894329334,0.596889171420324,0.3788695847741684,0.8121645108713524,0.017605284849802654,0.8189953717071273,0.7161934712514618,0.2667425695980398,0.8114032577025568,0.016958191990852356,0.8072238864643514,2.68
libero_goal_t08_ep004_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep4,64,0.6755815852492708,0.5975152037449647,0.0,-0.23035895363593917,0.8310797556209248,0.37580667252915906,0.009093999862670898,0.0,0.6444529431629961,0.2401996336891371,0.4398910886725867,0.017921229203542072,0.0,0.4154910306972226,0.3945675337549737,0.5338342722171417,0.014491637547810873,0.0,0.8391898732747904,0.10848795223655795,0.7212831731336053,0.021246224641799927,0.0,0.4198902834195423,0.3917778779681293,0.2907264946938372,0.01955050230026245,0.0,0.8798481693542429,0.08107219716093877,0.6274048755589537,0.020652025938034058,0.0,0.23419137024814865,0.5172845904415121,0.44790622573051303,0.01253137985865275,0.0,0.9214398946652308,0.05313676949752174,0.6357432326641713,0.023425251245498657,0.0,1.97
libero_goal_t08_ep004_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep4,64,1.1230046518725025,0.4208679834144608,0.07149172273097616,-0.05371284657697406,1.1832803348458663,0.17430893982636766,0.0019583702087402344,0.004553825341723297,0.6945760303291112,0.3429656471417098,0.792720669198082,0.013674775759379068,0.03975815588624406,0.7630000762264565,0.26619271044450915,0.9060645490171156,0.01015537977218628,0.038939730459484956,0.8028405315098385,0.2214286504936693,0.9342254512875708,0.01393816868464152,0.053974766464256335,0.677518930676158,0.3621598306613449,0.7977016321344553,0.010577996571858725,0.03460739063147917,0.8713062695085503,0.14455899125899307,0.9992104792805603,0.01371614138285319,0.05748356231499241,0.33166781564070075,0.7505334095542993,0.5373087265078239,0.00963062047958374,0.04277799116978362,0.7215388702478963,0.3127294174936955,0.8812551383384274,0.00997912883758545,0.04053468914018663,2.12
libero_goal_t08_ep004_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep4,64,1.960460821774702,0.47774944815386056,2.025533941918884,-0.0725393397682439,2.10265926338367,0.2773917808154016,0.003923110663890839,0.28418237208087677,0.777822925175331,0.4356154278693934,1.5493032825934587,0.021262715260187786,1.6061235936467622,0.5513926746256287,0.8794339106912511,1.1860870769940455,0.01680651803811391,1.2196443482714627,0.6768076315579662,0.6335805053246464,1.355810776760037,0.02060284713904063,1.4092998192027242,0.849197166672013,0.295684614360056,1.7023407753614646,0.023016750812530518,1.755661728437975,0.7087083615141205,0.5710413487825391,1.4300508851691658,0.02129525939623515,1.4787929028294173,0.4895452051660814,1.0007276138188235,1.0209248219629183,0.011853784322738647,1.0481292010354997,0.6156701021861806,0.7534988228622149,1.3223045818082761,0.015348126490910849,1.3496842973030383,2.51
libero_goal_t08_ep005_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep5,64,2.223387444687924,0.7126540271023083,0.0,0.17877827444320837,1.8259212511556993,0.4524417424933356,0.007200558980305989,0.0,0.6619336455982621,0.7516098025448791,2.663357612939787,0.04932697614034017,0.0,0.9173444110474867,0.18374841957263263,2.06250354589937,0.04304584860801697,0.0,0.9483327174087375,0.11485732852857554,2.1841567591480224,0.04507754246393839,0.0,0.6873254586867562,0.6951564154564548,2.5596163511542165,0.047628045082092285,0.0,0.942777916456548,0.12720388949694436,2.1217309736302146,0.04419319828351339,0.0,-0.2638751321934521,2.8101287816793565,0.9437425149819205,0.01588691274325053,0.0,0.8636207562254955,0.30322755594764744,2.2255026136705176,0.04545827706654867,0.0,1.92
libero_goal_t08_ep005_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep5,64,1.6364128449963897,0.7386614707816656,0.0,0.4639417328372705,0.8771637359907277,0.7877433376437573,0.013894617557525635,0.0,0.8435659159419199,0.25607075824083064,1.4890813608205218,0.027172704537709553,0.0,0.772475225804273,0.3724712103915939,1.3052982630813263,0.025724093119303387,0.0,0.8907749759414085,0.17885877077199266,1.6102464716826477,0.030686100323994953,0.0,0.8076560063667241,0.31476387250142845,1.4830175408849726,0.029928088188171387,0.0,0.8761187073965345,0.20280286865802308,1.4967211442360204,0.029360075791676838,0.0,0.6168612809277295,0.6270289030717905,1.0340498806898912,0.016404390335083008,0.0,0.7633996686417147,0.3872931445513774,1.3424496392463843,0.021862566471099854,0.0,1.96
libero_goal_t08_ep005_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep5,64,1.8917288832778678,0.46025326971440716,1.9062217751752533,0.16728753854065834,1.5752145906006396,0.3416194839475984,0.0069654155522584915,0.3389032470656,0.9557828039233192,0.08365115533838709,1.874954156577547,0.022553106149037678,1.8733065478102136,0.7760668828951962,0.4235841390819308,1.4806221111184659,0.023311505715052288,1.5063458959387692,0.900963970432524,0.18730196105056193,1.9237204188551844,0.026906659205754597,1.9452641731368427,0.892733028671596,0.2027672936082315,1.9397152173992758,0.023907033105691273,1.908881622004604,0.8196670882407474,0.341155557146549,1.556633019532433,0.02306396762530009,1.5746970782146505,0.8024460877541788,0.37376837472491414,1.5499067066457408,0.02265237768491109,1.5681338322802048,0.769070204236066,0.4367441586238983,1.695301449729908,0.022778595487276714,1.7123697091717116,2.59
libero_goal_t08_ep006_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep6,64,1.4666072562567447,0.8743748639514746,2.0238945103496053e-14,0.10104387446537266,1.3186579219737113,0.2549937735778202,0.006670370697975159,4.661978002688685e-14,0.8618397308685992,0.20238327237434597,1.4242532299475006,0.029787113269170124,4.832230204717375e-14,0.061161471371499264,1.3764651024896688,0.1716631115225252,0.005234083781639735,1.2471446391313337e-13,0.21661663267136091,1.1483842727730176,0.35580455716865167,0.0077594419320424395,5.6054156733818414e-14,0.7691565706838043,0.338347142098169,1.2697346864219536,0.025949647029240925,2.822382752132556e-13,0.06543036411326757,1.3701771217316379,0.2213029355700323,0.006333390871683757,8.361609929826498e-14,0.11624087004438481,1.2957374518072386,0.625208237362932,0.013118306795756022,6.866204420765428e-14,0.6987627236994016,0.4414248986916702,1.2197527650817692,0.022904276847839355,3.949249843292258e-13,1.91
libero_goal_t08_ep006_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep6,64,1.2455757550861248,0.36359306278991044,8.214319343467175e-14,0.5558675325133364,0.5532657243559572,0.7154100374754148,0.010830154021581015,1.909399970248563e-14,0.6556452810155308,0.42892461654434627,0.8427479457220945,0.013734986384709677,4.2917728038331497e-14,0.7520544247406487,0.30884171683539435,0.9541273498061731,0.016656488180160522,1.1889007320259603e-13,0.8226071116523747,0.22095319424227144,1.0363681184124987,0.016503800948460896,5.30604541126392e-14,0.764282016651295,0.29361350935140273,0.9864534664405932,0.01596379280090332,7.910765439846477e-14,0.7410781014447835,0.3225115804211498,0.9235635505977986,0.015408486127853394,6.445594698863523e-14,0.49953946679374656,0.6233932065489659,0.6593280576417077,0.012589762608210245,5.825619751714413e-14,0.6104652467460104,0.48520592488881603,0.8105685182932317,0.014582922061284384,6.26862771690839e-14,2.02
libero_goal_t08_ep006_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep6,64,1.6814542311690004,0.399846854428631,1.6806727369210828,0.11784055843254393,1.483384763016293,0.29499562902859283,0.011552780866622925,0.284998470163153,0.76791810083005,0.3902517341999989,1.6104812714277086,0.03094439705212911,1.605699510337656,0.625982898998187,0.6289047100660937,1.9809861203771562,0.0432423452536265,1.9826593714905725,0.608296439980917,0.6586328703227845,2.0153474953408863,0.043548633654912315,2.019667706916078,0.6008865135562466,0.6711629125971458,1.4888339836792228,0.028980354468027752,1.4923108819486013,0.6802939103770983,0.5375614591350188,1.8786886966506646,0.042882452408472695,1.8790741392887977,-0.27172804405514706,2.1383491161087207,0.5147998760298044,0.010774904241164526,0.5074434204151331,0.6446514332898506,0.5975635698036754,1.1729437182817444,0.028865108887354534,1.1673002042414462,2.26
libero_goal_t08_ep007_s0024_approach,libero_goal,8,approach,libero_goal_t8_ep7,64,0.5155653478925403,0.35259921028329066,0.0,0.12978955580058074,0.4477202383697813,0.26534468762916436,0.00531234343846639,0.0,0.581540995485222,0.21447560082628478,0.4720429255013074,0.01751502851645152,0.0,0.07683909509340647,0.47370468849448716,0.28260915289258753,0.01359787086645762,0.0,-0.09142377503773728,0.5599924937989335,0.30087132764721686,0.015468999743461609,0.0,-0.030366320666774176,0.5283940973702328,0.628190032134854,0.021526217460632324,0.0,-0.01679269667537568,0.5217804145173784,0.24837700419391862,0.014317691326141357,0.0,-0.3694443588657046,0.7038748692472695,0.29950860071234525,0.012017503380775452,0.0,0.1215791314770553,0.4505307661336086,0.3035757856621549,0.015059560537338257,0.0,1.93
libero_goal_t08_ep007_s0040_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep7,64,1.0967251281472203,0.5025543151264356,0.006052776398121408,0.05556554806970663,1.035824123892904,0.18622388823737598,0.004385620355606079,0.08713043894549273,0.807187712445145,0.21142095073958198,0.9427022985662816,0.015917718410491943,0.004898643851594351,0.820238310110728,0.19711308540154363,0.9378139200534585,0.017262011766433716,0.07569470018686703,0.9102244043397171,0.09829877146161813,1.131772011380958,0.020287156105041504,0.0792904524842494,0.24238410883393444,0.8308509943756971,0.316239265253261,0.006182824571927388,0.08702076182628717,0.8925011801907875,0.11787009105283182,1.0617161730089812,0.019154250621795654,0.08660354660174674,0.5502184692324837,0.4932764970188035,0.6047374592349472,0.01023748517036438,0.004928213049316947,0.6870711545081748,0.34318698508560336,0.773563117117183,0.01420499881108602,0.07465529152432875,2.01
libero_goal_t08_ep007_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep7,64,0.7844142579417956,0.6955257468234267,0.7416738383407394,0.2569158575036454,0.5830161332304037,0.2872943472074801,0.0053561826546986895,0.2735016865058544,0.6407799987646648,0.28174274297539065,0.6866978813561714,0.018098463614781696,0.670612325700544,0.4088867204417987,0.4636503295770364,0.5952602896383521,0.01402813196182251,0.5835002536890155,0.7060568379857886,0.23060296307623096,0.7223147954951644,0.019068618615468342,0.6911929690068713,0.4273143474850636,0.44922457952064443,0.6241248251030908,0.012822151184082031,0.6186657754045054,0.5837101745693501,0.3266193806224111,0.752162843918807,0.017276565233866375,0.7213290732833046,0.44337701704628757,0.4366175417190162,0.5522298582881822,0.016108691692352295,0.5374522004837119,0.724078821781012,0.21646458174738722,0.5708164440197855,0.013425002495447794,0.5253772036365869,2.15
libero_goal_t08_ep008_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep8,64,1.1382480250014881,0.5941805990951342,0.0,-0.012791063478789666,1.1528053561143696,0.3248270435538267,0.008443333208560944,0.0,0.5593012518091708,0.501511161763471,1.0614929199863576,0.020547151565551758,0.0,-0.23621440298761312,1.4071269274403264,0.27496377386724147,0.01129736378788948,0.0,0.29767393057559516,0.799372158459946,0.4081277898979841,0.022240536908308666,0.0,0.6474097525673356,0.40119762319127217,1.2789956981204742,0.023817559083302815,0.0,0.2172547581495362,0.8909116918742677,0.25568480777086244,0.022480130195617676,0.0,-0.052322256437582405,1.197784788717847,0.15580367255031832,0.009214293211698532,0.0,0.0230818597098937,1.1119249901700008,0.1630364318198272,0.015199504792690277,0.0,1.97
libero_goal_t08_ep008_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep8,64,1.1069088751139486,0.7688464162025539,0.2851053504162613,0.2587279549581893,0.8255994402079141,0.31589596754451504,0.015000998973846436,0.09141720874200658,0.5104014304717207,0.5201538089477503,1.0486764106970923,0.3402363657951355,0.18287695277462768,0.7316587305127805,0.2913758974685637,0.9106314744753399,0.35337376594543457,0.20238907159140226,0.803307837665333,0.21318035179093142,1.0042818385672676,0.3533745805422465,0.23426217600845547,0.8384924119087939,0.17481066525009806,1.0076666134882333,0.344600369532903,0.2552915957243396,0.794313204244436,0.22323854855830175,0.9758580953768998,0.35432010889053345,0.2328050168360859,0.4679279006142143,0.5993952693698145,0.5601540867848405,0.028351982434590656,0.15247313591314332,0.6709693606772946,0.357020991593845,0.8693725944294889,0.34725117683410645,0.18512910204409094,2.29
libero_goal_t08_ep008_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep8,64,2.246099553336201,0.38750300021104883,2.2111481706380203,0.31397790067017356,1.5408332851413122,0.7330074342132126,0.011508588989575705,0.7231295003111262,0.7752934636793897,0.5048556156680496,1.7745734404985107,0.03248327970504761,1.7373944658185942,0.8786159221765978,0.2726194880344524,2.0040365116777887,0.03332458436489105,1.978829416906087,0.7605972213100521,0.5377760619442072,1.723698719413039,0.031394521395365395,1.693929143940878,0.8084778182121869,0.4303576960205431,1.825723339779973,0.03150452673435211,1.7894561185229443,0.8346968281188039,0.371317977050321,1.9582605582570671,0.03482823073863983,1.933456200676061,0.12709429051748802,1.9605689597933573,0.2857499599985313,0.009747091680765152,0.2729963790476186,0.5586822989666054,0.9912273536541106,1.2673484045226304,0.019567022720972698,1.2374284053249183,2.36
libero_goal_t08_ep009_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep9,64,0.8981625735180093,0.7976820445512418,0.0,0.7669431861363424,0.20893679117235794,0.7902688388169081,0.017248600721359253,0.0,0.5775068072430554,0.37925121043148796,1.057230766036126,0.02246967951456706,0.0,0.560864394929772,0.3942336400437725,0.5454614402168575,0.014191468556722006,0.0,0.8397398265065986,0.14407120701278772,0.8114354513353023,0.018314202626546223,0.0,0.4281634622210582,0.5130325703840338,1.2321604133716093,0.032524307568868004,0.0,0.6633357729254934,0.30221918663949404,0.7530581366361804,0.017222166061401367,0.0,0.050511142085485426,0.8527389534364778,0.21273016927814192,0.0077835942308108015,0.0,0.39085258463546174,0.5469593921273548,0.5379813517439059,0.012234369913736979,0.0,1.88
libero_goal_t08_ep009_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep9,64,0.975951438452523,0.4020597761334703,0.0,0.11906762579817205,0.8597914003844562,0.2733754729201158,0.004012743631998698,0.0,0.38793556814119884,0.5973020689946686,0.6754437132284691,0.01057050625483195,0.0,0.4441682315147924,0.5424438748428427,0.5570806078959286,0.00743443767229716,0.0,0.4723517613991903,0.5149383167114182,0.5809831179003933,0.009916146596272787,0.0,-0.06642628212995001,1.0406609252819097,0.5256209295738676,0.01600665847460429,0.0,0.45958781309883384,0.5273756221437663,0.5223192089649904,0.010106881459554037,0.0,0.2809533060285229,0.7018122252532294,0.39477843223119374,0.005246162414550781,0.0,0.4126865127602379,0.5731972647967566,0.6624569478830789,0.010077357292175293,0.0,1.98
