state_id,suite,task_id,phase,episode,D_median,G_median,U_median,cos_median,D_over_G_median,G_over_htnorm,frac_tokens_G_lt_D,sp_D_U,sp_G_U,sp_D_G,sp_cos_U,sp_absDG_U,sp_1mcos_U,pe_D_U,sp_D_U_b4a_cosperm,sp_D_U_b4b_cos0,sp_G_U_b4a,sp_D_1mcos,sp_D_relerr,sp_S_resid_iso,sp_S_resid_lin,sp_S_U,sp_S_D,sp_resid_iso_errdev,sp_D_errdev,sp_U_errdev,sp_S_errdev,sp_DS_errdev,sp_US_errdev,sp_Datt_errdev,sp_att_errdev,u_float16_rel_error
libero_goal_t08_ep009_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep9,7.270239315266787,2.8828110174574624,7.133159723318616,0.24757775977893365,2.0769186802706994,0.10402354778436332,0.84765625,0.9118133440146486,0.37294718471046007,0.4976217383840696,0.2469107633325704,0.18516536964980546,-0.2469107633325704,0.7165912079305992,0.8738047894254978,0.9728491931792173,0.46233620393682767,-0.5139040684367132,-0.31402137216754406,-0.15849593728542,-0.12663009269855802,0.07594272144655527,0.1294060425726711,-0.08289153696498054,0.3161793316548409,0.29053201533531703,0.8393074788281071,0.8664790283817807,0.8734214065003433,0.26098578049897003,0.024409189745937285,0.0002833171062240468
libero_goal_t08_ep009_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep9,6.990951207516552,2.4033976490980313,7.066741125176458,0.2181011179584021,2.2668844252471043,0.08672506958078485,0.8515625,0.9351324673838407,0.2596818493934539,0.34319137674525063,0.18532630464637218,0.32877732318608377,-0.18532630464637218,0.7821345023257713,0.9177800984206912,0.9747003032730602,0.3439946211947814,-0.390888218127718,-0.18347447928587776,-0.19072370679789424,-0.3038474193179217,-0.16576733806363012,-0.09774977111467155,-0.17166399633783475,0.10353842412451363,0.04219286449988556,0.801459859235523,0.8174424925612268,0.8178394655527581,0.3039768825818265,0.2568486781872282,0.000289860261732398
libero_object_t00_ep000_s0024_approach,libero_object,0,approach,libero_object_t0_ep0,5.435387081173559,1.9343703227031994,5.695674020518004,0.0686312076858295,2.1292271870790667,0.069800003179664,0.83984375,0.9591933222705424,0.5741588464179446,0.6011630235751888,0.32118333714808883,0.4573364900434882,-0.32118333714808883,0.768891555127824,0.9230730716411079,0.9883039597161822,0.6279147116044862,-0.4735129606317235,-0.19987268253604945,-0.009146114671549554,-0.17612869077592128,0.08566462577248798,0.09142180704966811,0.03396515220874342,0.27015836003662164,0.27486052300297553,0.888301813916228,0.9105444609750515,0.915833857862211,0.5116395342183566,0.4086668860151064,0.00040243915851000583
libero_object_t00_ep000_s0040_pre_grasp,libero_object,0,pre_grasp,libero_object_t0_ep0,5.935241835856604,1.902360535263675,5.943436099874282,0.2593962982783879,2.621044069389,0.06864542976177636,0.78125,0.951014248111696,0.6103449015793088,0.5429839494163424,0.47577248798352023,0.3759656099794003,-0.47577248798352023,0.8088550801425087,0.9357819295033188,0.9701533531700618,0.5876552128633554,-0.6371838521400778,-0.22006752117189288,0.24194681277180133,0.21476739528496222,0.13796993018997483,0.07362954909590295,0.267386701762417,0.24142752918287938,0.3148510814831769,0.8788767452506294,0.8925240329594873,0.9039389734493019,0.4251151579308766,0.3507953765163653,0.0004726324854534862
libero_object_t00_ep000_s0056_manipulation,libero_object,0,manipulation,libero_object_t0_ep0,6.003425092153751,2.434287408977074,5.812609933056773,0.37241195043786846,1.9278785989182852,0.0878400443370924,0.74609375,0.9246545262073701,0.6149798294804303,0.5687836175326162,0.4809681849393454,0.3384806305790799,-0.4809681849393454,0.7129119578105552,0.9187843327992675,0.9618612668802929,0.5982554646372168,-0.6930769340810254,-0.2509634641794461,0.1852254520485237,0.06708414396887159,0.003614957656214237,-0.0679453250171664,0.23462605859464408,0.12321970130464638,0.22485193980315862,0.8675440604257267,0.8767330910963608,0.9012495708400091,0.4981088349736782,0.5247482261387045,0.0004645058432517971
libero_object_t00_ep001_s0024_approach,libero_object,0,approach,libero_object_t0_ep1,5.732770419567807,1.8583671406326316,5.667716859457091,0.22563960383927836,2.54150669825431,0.06705759790113322,0.859375,0.9674560826276035,0.5010371366445411,0.5507038223849852,0.3851954108491646,0.46635886358434425,-0.3851954108491646,0.736066424842954,0.9440661478599222,0.9903624971389334,0.5238999198901351,-0.5430848020141908,-0.13439216639963378,-0.0344493877317464,-0.19559610322728313,0.023933537422751203,0.027923294804303046,-0.0052293144884412905,0.21298995765621423,0.22117546921492331,0.87192077706569,0.8866130693522545,0.8977354657816434,0.4793295090409705,0.4006995307850767,0.00037760301153967347
libero_object_t00_ep001_s0048_pre_grasp,libero_object,0,pre_grasp,libero_object_t0_ep1,5.469452815538455,1.313307930314162,5.705677961722964,0.08728307183602788,3.833804228184501,0.04738991989910083,0.9296875,0.9738319695582514,0.46793245021744106,0.4448586633096818,0.12047951476310369,0.4753318837262531,-0.12047951476310369,0.9329879880893331,0.9693758583199817,0.9752911135271229,0.49643010414282446,-0.2160348477912566,0.017401007095445183,0.09388947699702449,-0.04014004921034562,0.09267280842298009,0.052631466010528725,0.0799317635614557,0.27505722133211263,0.30648460746166173,0.8706490329594873,0.9071662565804532,0.9067864499885557,0.4461611638818952,0.3291349565117876,0.0003908600682442643
libero_object_t00_ep001_s0064_manipulation,libero_object,0,manipulation,libero_object_t0_ep1,5.88229566934786,2.400804979535284,5.695394731545605,0.39570473788604166,1.8658666324568465,0.08663192445815084,0.78125,0.9222562371252003,0.63823171778439,0.608181935225452,0.4569788567177844,0.33756723506523234,-0.4569788567177844,0.7026881787919111,0.9206940947585259,0.9688851853971161,0.6354951075761044,-0.686694609750515,-0.24192392423895628,0.2071762703135729,0.09166571297779812,0.04845716983291371,-0.0296313515678645,0.253837405584802,0.19457756351567865,0.2910913538567178,0.8660033760585947,0.8829258697642481,0.9026700904097047,0.490496967269398,0.4748505092698558,0.0004506102929918714
libero_object_t00_ep002_s0024_approach,libero_object,0,approach,libero_object_t0_ep2,5.402333500527613,1.9094848604344974,5.489887264142013,0.14881853343588547,2.308555401776782,0.06890254275048956,0.875,0.9617074845502404,0.5923473620965896,0.6305554760814832,0.4400384813458457,0.5004220073243305,-0.4400384813458457,0.7301744842376156,0.9393110551613642,0.9881795033188373,0.6294646944380865,-0.5776650835431448,-0.17331483176928358,-0.06052800984206912,-0.2536385614557107,-0.02134069581139849,0.004180018310826276,-0.03143525406271458,0.18199173151750972,0.16077191577019914,0.8791049153124285,0.8936520084687571,0.9008776321812771,0.4910927843900206,0.41571226253147175,0.0003747531149015201
libero_object_t00_ep002_s0048_pre_grasp,libero_object,0,pre_grasp,libero_object_t0_ep2,5.77463558029566,1.696197156896495,5.683634249180863,0.23413494433803173,2.6978721644849277,0.06120634021031285,0.890625,0.9518496795605401,0.5787065117875945,0.5705117017624171,0.3889941920347906,0.31057736324101626,-0.3889941920347906,0.8047222945679744,0.9397509441519799,0.9828965438315403,0.5862797550926986,-0.5526801041428244,-0.184653953994049,0.16730873769741358,0.039314631494621194,0.09955510414282444,0.05006365873197528,0.20835574502174412,0.2333628976882582,0.2932049668116274,0.8972376401922637,0.9143339436942092,0.9245357919432364,0.42398718242160677,0.33836332684824905,0.0004574838895952519
libero_object_t00_ep002_s0064_manipulation,libero_object,0,manipulation,libero_object_t0_ep2,5.750696439844484,2.23057105601521,5.871393849952065,0.20718232644764037,2.0548771318561485,0.0804890920039967,0.86328125,0.9353463321126115,0.6024347676813916,0.6836182478828107,0.33960789082169834,0.3538796063172351,-0.33960789082169834,0.6625537470368348,0.9071784161135271,0.9832198443579766,0.6449652380407416,-0.5494563973449302,-0.3236030842298009,-0.16458500228885328,-0.3336025120164797,-0.08471046005951019,-0.01554918173495079,-0.11802758068207828,0.20806606202792402,0.15524719615472649,0.8539775978484779,0.881246423666743,0.8875836861982147,0.5442285133897917,0.5143997482261387,0.0003998056723973625
